INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Leather,4,2011,UTILISATION,75.5
Leather,1,2012,UTILISATION,71.9
Leather,2,2012,UTILISATION,71.3
Leather,3,2012,UTILISATION,64.6
Leather,4,2012,UTILISATION,69.6
Leather,1,2013,UTILISATION,63.6
Leather,2,2013,UTILISATION,67.9
Leather,3,2013,UTILISATION,69.0
Leather,4,2013,UTILISATION,75.5
Leather,1,2014,UTILISATION,70.7
Leather,2,2014,UTILISATION,69.9
Leather,3,2014,UTILISATION,62.7
Leather,4,2014,UTILISATION,74.6
Leather,1,2015,UTILISATION,70.3
Leather,2,2015,UTILISATION,74.5
Leather,3,2015,UTILISATION,74.5
Leather,4,2015,UTILISATION,74.4
Leather,1,2016,UTILISATION,74.7
Leather,2,2016,UTILISATION,75.9
Leather,3,2016,UTILISATION,71.8
Leather,4,2016,UTILISATION,75.0
Leather,1,2017,UTILISATION,74.6
Leather,2,2017,UTILISATION,71.8
Leather,3,2017,UTILISATION,70.5
Leather,4,2017,UTILISATION,74.3
Leather,1,2018,UTILISATION,74.2
Leather,2,2018,UTILISATION,72.9
Leather,3,2018,UTILISATION,69.7
Leather,4,2018,UTILISATION,68.1
Leather,1,2019,UTILISATION,61.1
Leather,2,2019,UTILISATION,63.4
Leather,3,2019,UTILISATION,61.6
Leather,4,2019,UTILISATION,61.3
Leather,1,2020,UTILISATION,60.8
Leather,2,2020,UTILISATION,32.4
Leather,3,2020,UTILISATION,56.7
Leather,4,2020,UTILISATION,68.7
Leather,1,2021,UTILISATION,63.8
Leather,2,2021,UTILISATION,50.2
Leather,3,2021,UTILISATION,56.2
Leather,4,2021,UTILISATION,58.6
Footwear,4,2003,UTILISATION,82.0
Footwear,1,2004,UTILISATION,80.2
Footwear,2,2004,UTILISATION,81.3
Footwear,3,2004,UTILISATION,88.0
Footwear,4,2004,UTILISATION,81.9
Footwear,1,2005,UTILISATION,80.6
Footwear,2,2005,UTILISATION,76.4
Footwear,3,2005,UTILISATION,79.6
Footwear,4,2005,UTILISATION,83.3
Footwear,1,2006,UTILISATION,81.1
Footwear,2,2006,UTILISATION,87.7
Footwear,3,2006,UTILISATION,89.6
Footwear,4,2006,UTILISATION,90.1
Footwear,1,2007,UTILISATION,90.3
Footwear,2,2007,UTILISATION,90.9
Footwear,3,2007,UTILISATION,91.0
Footwear,4,2007,UTILISATION,88.8
Footwear,1,2008,UTILISATION,91.2
Footwear,2,2008,UTILISATION,91.7
