INDUSTRY,QUARTER,YEAR,RAW_MATERIAL_%,SKILLED_LABOUR_%,SEMI_AND_UNSKILLED LABOUR_%,INSUFFICIENT_DEMAND_%,OTHER_REASONS_%
Machinery,4,2020,33.99,1.97,0.0,52.22,11.33
Machinery,1,2021,35.29,2.26,0.9,52.49,9.05
Machinery,2,2021,31.95,3.01,1.88,51.13,12.03
Machinery,3,2021,36.67,1.85,0.74,45.19,16.3
Machinery,4,2021,28.51,4.39,0.88,47.37,18.86
"Radio, television and communication apparatus",4,2003,9.77,6.32,0.0,81.61,2.3
"Radio, television and communication apparatus",1,2004,8.87,7.88,0.0,65.52,17.73
"Radio, television and communication apparatus",2,2004,26.7,0.0,0.0,70.45,2.84
"Radio, television and communication apparatus",3,2004,22.56,3.08,0.0,70.26,4.1
"Radio, television and communication apparatus",4,2004,14.53,0.85,0.0,84.62,0.0
"Radio, television and communication apparatus",1,2005,15.13,3.36,0.0,81.51,0.0
"Radio, television and communication apparatus",2,2005,17.73,4.26,0.0,78.01,0.0
"Radio, television and communication apparatus",3,2005,21.71,6.2,0.0,72.09,0.0
"Radio, television and communication apparatus",4,2005,23.08,3.85,3.85,68.27,0.0
"Radio, television and communication apparatus",1,2006,11.59,1.83,3.66,76.83,6.71
"Radio, television and communication apparatus",2,2006,8.08,4.04,5.05,50.51,33.33
"Radio, television and communication apparatus",3,2006,14.13,7.61,2.17,67.39,9.78
"Radio, television and communication apparatus",4,2006,12.87,16.83,3.96,53.47,12.87
"Radio, television and communication apparatus",1,2007,10.87,5.07,2.9,76.09,5.8
"Radio, television and communication apparatus",2,2007,18.32,7.63,0.0,54.2,20.61
"Radio, television and communication apparatus",3,2007,13.51,2.7,0.0,70.27,13.51
"Radio, television and communication apparatus",4,2007,17.65,0.0,0.0,61.18,21.18
"Radio, television and communication apparatus",1,2008,9.65,4.39,0.88,58.77,26.32
"Radio, television and communication apparatus",2,2008,10.32,5.56,0.0,57.14,26.98
"Radio, television and communication apparatus",3,2008,5.26,8.77,0.0,57.89,28.07
"Radio, television and communication apparatus",4,2008,2.75,0.0,0.0,85.32,11.93
"Radio, television and communication apparatus",1,2009,4.07,10.57,0.0,72.36,13.01
"Radio, television and communication apparatus",2,2009,3.88,12.4,0.0,68.99,14.73
"Radio, television and communication apparatus",3,2009,1.65,7.14,0.0,73.63,17.58
"Radio, television and communication apparatus",4,2009,4.23,5.63,0.0,74.65,15.49
"Radio, television and communication apparatus",1,2010,2.69,1.15,0.0,92.69,3.46
"Radio, television and communication apparatus",2,2010,3.81,1.73,0.0,89.27,5.19
"Radio, television and communication apparatus",3,2010,4.87,1.62,0.0,88.31,5.19
"Radio, television and communication apparatus",4,2010,6.05,1.4,0.0,88.37,4.19
"Radio, television and communication apparatus",1,2011,6.75,1.27,0.0,87.76,3.8
"Radio, television and communication apparatus",2,2011,0.37,1.85,0.0,92.59,4.81
"Radio, television and communication apparatus",3,2011,7.48,2.34,0.0,84.11,6.07
"Radio, television and communication apparatus",4,2011,7.37,4.61,0.0,83.87,4.15
"Radio, television and communication apparatus",1,2012,0.49,1.95,0.0,92.68,4.88
"Radio, television and communication apparatus",2,2012,0.44,2.64,0.0,90.31,6.61
"Radio, television and communication apparatus",3,2012,0.5,1.99,0.0,84.08,12.94
"Radio, television and communication apparatus",4,2012,1.68,5.04,0.0,85.71,8.4
"Radio, television and communication apparatus",1,2013,0.68,4.08,0.0,85.71,10.2
"Radio, television and communication apparatus",2,2013,3.08,2.64,0.0,82.38,11.45
"Radio, television and communication apparatus",3,2013,3.11,2.07,0.0,86.01,9.33
"Radio, television and communication apparatus",4,2013,4.41,2.94,0.0,80.15,13.24
"Radio, television and communication apparatus",1,2014,1.3,7.14,0.0,73.38,17.53
"Radio, television and communication apparatus",2,2014,2.01,7.38,0.0,71.14,19.46
"Radio, television and communication apparatus",3,2014,2.59,9.48,0.0,62.93,25.0
"Radio, television and communication apparatus",4,2014,2.83,10.38,0.0,60.38,27.36
"Radio, television and communication apparatus",1,2015,2.91,7.56,0.0,68.6,20.93
"Radio, television and communication apparatus",2,2015,2.56,9.23,0.0,64.1,24.1
"Radio, television and communication apparatus",3,2015,2.5,0.0,0.0,92.0,5.5
"Radio, television and communication apparatus",4,2015,2.08,0.0,0.0,93.75,4.17
"Radio, television and communication apparatus",1,2016,1.65,0.0,0.0,95.05,3.3
"Radio, television and communication apparatus",2,2016,1.86,0.0,0.0,94.41,3.73
"Radio, television and communication apparatus",3,2016,0.65,0.0,0.0,98.05,1.3
"Radio, television and communication apparatus",4,2016,1.21,0.0,0.0,97.58,1.82
"Radio, television and communication apparatus",1,2017,1.69,0.0,0.0,96.07,2.81
"Radio, television and communication apparatus",2,2017,1.27,0.0,0.0,96.82,2.55
"Radio, television and communication apparatus",3,2017,1.92,0.0,0.0,94.87,3.21
"Radio, television and communication apparatus",4,2017,2.38,0.0,0.0,93.45,4.17
"Radio, television and communication apparatus",1,2018,3.9,0.0,0.0,89.27,7.32
"Radio, television and communication apparatus",2,2018,3.86,0.0,0.0,88.89,7.25
"Radio, television and communication apparatus",3,2018,7.21,0.0,0.0,91.35,1.44
"Radio, television and communication apparatus",4,2018,8.15,0.0,0.0,90.22,1.63
"Radio, television and communication apparatus",1,2019,12.27,0.0,0.0,84.09,3.64
"Radio, television and communication apparatus",2,2019,13.68,0.0,0.0,81.62,4.27
"Radio, television and communication apparatus",3,2019,18.47,0.0,0.0,77.51,4.02
"Radio, television and communication apparatus",4,2019,18.9,0.0,0.0,77.56,3.94
"Radio, television and communication apparatus",1,2020,27.31,0.0,0.0,72.69,0.0
"Radio, television and communication apparatus",2,2020,7.83,0.0,0.0,80.42,11.75
"Radio, television and communication apparatus",3,2020,20.42,0.0,0.0,77.11,2.46
"Radio, television and communication apparatus",4,2020,11.56,6.67,0.0,68.0,13.33
"Radio, television and communication apparatus",1,2021,15.73,0.0,0.0,70.41,13.86
"Radio, television and communication apparatus",2,2021,17.33,0.0,0.0,76.44,6.22
"Radio, television and communication apparatus",3,2021,20.64,0.0,0.0,68.81,10.55
"Radio, television and communication apparatus",4,2021,16.51,0.0,0.0,73.39,10.55
Professional equipment,4,2003,42.11,0.0,0.0,57.89,0.0
Professional equipment,1,2004,52.54,0.0,0.0,47.46,0.0
Professional equipment,2,2004,42.37,0.0,0.0,57.63,0.0
Professional equipment,3,2004,20.95,0.0,0.0,56.76,22.3
Professional equipment,4,2004,7.18,0.0,0.51,75.38,16.92
Professional equipment,1,2005,23.86,9.66,0.0,60.8,5.68
Professional equipment,2,2005,17.54,6.43,0.0,76.02,0.0
Professional equipment,3,2005,0.65,0.0,0.0,92.9,6.45
Professional equipment,4,2005,0.81,5.69,0.0,93.5,0.0
Professional equipment,1,2006,23.94,2.82,0.0,69.72,3.52
Professional equipment,2,2006,10.34,15.17,0.69,27.59,45.52
Professional equipment,3,2006,21.62,0.0,0.9,65.77,11.71
Professional equipment,4,2006,18.27,0.0,10.58,64.42,7.69
Professional equipment,1,2007,21.24,0.0,1.77,45.13,30.97
Professional equipment,2,2007,37.74,2.83,0.0,58.49,0.94
Professional equipment,3,2007,23.89,0.88,10.62,58.41,6.19
Professional equipment,4,2007,23.42,0.0,0.0,61.26,15.32
Professional equipment,1,2008,25.42,0.85,0.0,66.1,7.63
Professional equipment,2,2008,25.89,2.68,1.79,67.86,1.79
Professional equipment,3,2008,28.35,3.15,0.79,67.72,0.0
Professional equipment,4,2008,25.36,13.77,2.17,58.7,0.0
Professional equipment,1,2009,20.0,12.31,1.03,66.67,0.0
Professional equipment,2,2009,14.1,8.33,0.64,76.92,0.0
Professional equipment,3,2009,13.13,6.06,0.0,74.24,6.06
Professional equipment,4,2009,43.28,2.24,0.75,53.73,0.0
Professional equipment,1,2010,30.82,1.26,0.0,68.55,0.0
Professional equipment,2,2010,21.43,2.14,0.0,76.43,0.0
Professional equipment,3,2010,0.74,0.0,0.0,99.26,0.0
Professional equipment,4,2010,43.21,3.7,0.0,53.09,0.0
Professional equipment,1,2011,10.71,1.79,0.0,80.36,7.14
Professional equipment,2,2011,10.53,1.97,0.0,42.11,45.39
Professional equipment,3,2011,42.99,2.8,0.93,53.27,0.0
Professional equipment,4,2011,43.33,0.0,0.0,46.67,10.0
Professional equipment,1,2012,12.59,5.93,0.0,71.85,9.63
Professional equipment,2,2012,10.43,0.87,0.0,77.39,11.3
Professional equipment,3,2012,16.83,0.0,0.0,70.3,12.87
Professional equipment,4,2012,26.6,0.0,0.0,71.28,3.19
Professional equipment,1,2013,15.79,0.0,0.0,75.66,8.55
Professional equipment,2,2013,9.79,0.0,0.0,76.92,12.59
Professional equipment,3,2013,9.46,0.0,0.0,87.16,2.7
Professional equipment,4,2013,14.91,0.0,0.0,73.68,11.4
Professional equipment,1,2014,20.78,0.0,0.0,70.78,9.09
Professional equipment,2,2014,10.46,0.0,0.0,86.93,2.61
Professional equipment,3,2014,13.66,0.0,0.0,84.47,1.86
Professional equipment,4,2014,22.22,0.0,0.0,77.04,1.48
Professional equipment,1,2015,21.97,0.0,0.0,76.3,1.16
Professional equipment,2,2015,25.79,0.0,0.0,68.55,5.03
Professional equipment,3,2015,24.0,0.0,0.0,74.67,1.33
Professional equipment,4,2015,23.77,0.0,0.0,74.59,1.64
Professional equipment,1,2016,19.4,0.0,0.0,78.36,2.24
Professional equipment,2,2016,15.28,0.0,0.0,83.33,2.08
Professional equipment,3,2016,15.49,0.0,0.0,83.1,2.11
Professional equipment,4,2016,16.92,0.0,0.0,80.77,2.31
Professional equipment,1,2017,16.06,0.0,0.0,81.02,2.92
Professional equipment,2,2017,7.81,0.0,0.0,89.06,3.12
Professional equipment,3,2017,14.86,0.0,0.0,82.86,2.29
Professional equipment,4,2017,16.92,0.0,0.0,80.0,3.08
Professional equipment,1,2018,11.81,0.0,0.0,85.04,3.15
Professional equipment,2,2018,12.99,0.0,0.0,84.75,2.26
Professional equipment,3,2018,11.11,0.0,0.0,86.96,1.93
Professional equipment,4,2018,9.2,0.0,0.0,87.93,2.3
Professional equipment,1,2019,7.92,0.0,0.0,90.1,1.98
Professional equipment,2,2019,8.29,0.0,0.0,89.64,2.07
Professional equipment,3,2019,8.56,0.0,0.0,89.3,2.14
Professional equipment,4,2019,8.89,0.0,0.0,88.89,2.22
Professional equipment,1,2020,11.22,0.0,0.0,86.34,2.93
Professional equipment,2,2020,10.33,0.0,0.0,81.36,8.06
Professional equipment,3,2020,8.06,0.0,0.0,83.87,8.06
Professional equipment,4,2020,12.78,0.0,0.0,83.33,4.44
Professional equipment,1,2021,15.98,0.0,0.0,79.45,4.57
Professional equipment,2,2021,25.54,0.0,0.0,68.48,5.98
Professional equipment,3,2021,18.08,0.0,0.0,80.23,1.69
Professional equipment,4,2021,19.28,0.0,0.0,78.31,1.81
"Motor vehicles, parts and accessories",4,2003,9.33,4.89,4.0,64.44,17.33
"Motor vehicles, parts and accessories",1,2004,5.58,3.05,0.0,72.08,19.29
"Motor vehicles, parts and accessories",2,2004,8.72,1.74,2.91,56.4,30.23
"Motor vehicles, parts and accessories",3,2004,24.05,2.53,0.63,67.09,5.7
"Motor vehicles, parts and accessories",4,2004,11.59,1.45,0.0,80.43,6.52
"Motor vehicles, parts and accessories",1,2005,4.46,1.79,0.45,56.25,37.05
"Motor vehicles, parts and accessories",2,2005,2.68,2.01,1.34,57.05,36.91
"Motor vehicles, parts and accessories",3,2005,4.62,2.31,1.54,73.08,18.46
"Motor vehicles, parts and accessories",4,2005,8.11,2.7,9.91,60.36,18.92
"Motor vehicles, parts and accessories",1,2006,13.04,3.48,2.61,71.3,9.57
"Motor vehicles, parts and accessories",2,2006,13.27,6.19,1.77,58.41,20.35
"Motor vehicles, parts and accessories",3,2006,10.53,9.65,0.88,61.4,17.54
"Motor vehicles, parts and accessories",4,2006,23.6,6.74,1.12,37.08,31.46
"Motor vehicles, parts and accessories",1,2007,23.66,6.45,3.23,37.63,30.11
"Motor vehicles, parts and accessories",2,2007,18.52,6.48,1.85,40.74,32.41
"Motor vehicles, parts and accessories",3,2007,21.37,10.26,3.42,29.91,35.9
"Motor vehicles, parts and accessories",4,2007,16.26,6.5,2.44,45.53,29.27
"Motor vehicles, parts and accessories",1,2008,14.18,5.97,2.99,47.76,29.1
"Motor vehicles, parts and accessories",2,2008,5.99,4.19,1.2,58.08,30.54
"Motor vehicles, parts and accessories",3,2008,6.51,5.33,0.59,81.66,5.92
"Motor vehicles, parts and accessories",4,2008,1.95,3.9,0.0,90.24,3.9
"Motor vehicles, parts and accessories",1,2009,1.32,2.64,0.99,89.11,5.94
"Motor vehicles, parts and accessories",2,2009,2.24,2.56,1.6,85.94,7.67
"Motor vehicles, parts and accessories",3,2009,2.4,3.9,2.1,85.29,6.61
"Motor vehicles, parts and accessories",4,2009,5.24,8.06,2.42,78.63,6.05
"Motor vehicles, parts and accessories",1,2010,8.75,4.94,1.14,78.33,6.46
"Motor vehicles, parts and accessories",2,2010,15.32,4.5,0.45,69.37,10.36
"Motor vehicles, parts and accessories",3,2010,12.06,2.13,0.35,58.16,28.01
"Motor vehicles, parts and accessories",4,2010,13.42,2.68,1.34,70.47,13.42
"Motor vehicles, parts and accessories",1,2011,9.14,2.15,0.54,76.88,11.83
"Motor vehicles, parts and accessories",2,2011,11.89,3.08,1.76,54.19,28.63
"Motor vehicles, parts and accessories",3,2011,8.38,2.79,0.56,58.66,30.17
"Motor vehicles, parts and accessories",4,2011,6.12,3.06,1.02,52.55,37.24
"Motor vehicles, parts and accessories",1,2012,11.58,3.16,1.05,67.89,16.84
"Motor vehicles, parts and accessories",2,2012,18.37,4.08,0.68,61.22,14.97
"Motor vehicles, parts and accessories",3,2012,7.38,2.68,0.67,76.51,12.75
"Motor vehicles, parts and accessories",4,2012,15.6,3.55,0.71,68.79,11.35
"Motor vehicles, parts and accessories",1,2013,12.43,3.39,0.56,71.19,12.99
"Motor vehicles, parts and accessories",2,2013,14.57,1.99,1.32,75.5,6.62
"Motor vehicles, parts and accessories",3,2013,4.3,1.43,0.36,31.9,62.01
"Motor vehicles, parts and accessories",4,2013,7.91,2.16,0.72,70.5,18.71
"Motor vehicles, parts and accessories",1,2014,8.21,1.93,0.97,57.0,32.37
"Motor vehicles, parts and accessories",2,2014,13.5,3.5,0.5,53.0,30.0
"Motor vehicles, parts and accessories",3,2014,13.46,3.21,1.28,66.03,16.03
"Motor vehicles, parts and accessories",4,2014,16.25,4.38,2.5,64.38,12.5
"Motor vehicles, parts and accessories",1,2015,12.94,2.99,3.48,61.69,19.4
"Motor vehicles, parts and accessories",2,2015,15.48,5.36,0.6,67.26,11.31
"Motor vehicles, parts and accessories",3,2015,15.54,5.18,0.0,66.84,11.92
"Motor vehicles, parts and accessories",4,2015,8.7,2.48,0.62,79.5,8.7
"Motor vehicles, parts and accessories",1,2016,7.73,2.21,0.55,68.51,21.55
"Motor vehicles, parts and accessories",2,2016,5.46,2.19,0.55,68.85,23.5
"Motor vehicles, parts and accessories",3,2016,8.59,3.07,0.61,76.69,11.66
"Motor vehicles, parts and accessories",4,2016,6.55,2.38,0.6,73.81,16.67
"Motor vehicles, parts and accessories",1,2017,7.61,2.17,1.09,74.46,14.13
"Motor vehicles, parts and accessories",2,2017,6.18,2.25,0.56,78.09,12.92
"Motor vehicles, parts and accessories",3,2017,7.14,1.95,1.3,77.92,11.04
"Motor vehicles, parts and accessories",4,2017,6.63,1.81,0.6,73.49,16.87
"Motor vehicles, parts and accessories",1,2018,9.94,2.34,0.0,70.18,16.96
"Motor vehicles, parts and accessories",2,2018,7.45,1.86,0.0,73.91,17.39
"Motor vehicles, parts and accessories",3,2018,7.01,1.91,0.0,75.16,15.92
"Motor vehicles, parts and accessories",4,2018,5.56,1.39,0.0,75.69,16.67
"Motor vehicles, parts and accessories",1,2019,7.45,1.24,0.62,72.67,18.63
"Motor vehicles, parts and accessories",2,2019,5.3,1.32,0.0,72.85,20.53
"Motor vehicles, parts and accessories",3,2019,6.49,1.3,0.0,76.62,14.94
"Motor vehicles, parts and accessories",4,2019,5.56,1.11,0.0,78.33,15.0
"Motor vehicles, parts and accessories",1,2020,6.18,1.12,0.0,75.28,17.42
"Motor vehicles, parts and accessories",2,2020,4.73,0.95,0.0,47.07,47.26
"Motor vehicles, parts and accessories",3,2020,6.07,2.24,0.0,64.86,27.16
"Motor vehicles, parts and accessories",4,2020,9.84,3.11,0.0,66.84,20.21
"Motor vehicles, parts and accessories",1,2021,13.33,2.78,0.0,69.44,13.89
"Motor vehicles, parts and accessories",2,2021,12.85,1.12,0.0,61.45,24.02
"Motor vehicles, parts and accessories",3,2021,18.35,0.75,0.0,45.69,35.21
"Motor vehicles, parts and accessories",4,2021,22.16,1.2,0.6,61.68,14.37
Other transport equipment,4,2003,1.61,0.81,2.02,78.23,17.34
Other transport equipment,1,2004,5.5,9.0,0.0,74.0,11.5
Other transport equipment,2,2004,0.0,3.83,0.0,79.09,17.07
Other transport equipment,3,2004,0.0,5.9,0.0,81.18,12.92
Other transport equipment,4,2004,1.62,7.29,0.0,74.9,16.19
Other transport equipment,1,2005,1.74,10.87,3.48,74.78,9.13
Other transport equipment,2,2005,3.56,10.67,2.67,57.78,25.33
Other transport equipment,3,2005,4.84,12.46,2.42,71.97,8.65
Other transport equipment,4,2005,4.33,10.67,2.33,81.33,1.33
Other transport equipment,1,2006,5.86,12.89,0.0,80.08,1.56
Other transport equipment,2,2006,4.85,0.0,1.12,75.0,19.03
Other transport equipment,3,2006,2.47,12.76,0.0,78.19,6.58
Other transport equipment,4,2006,4.03,31.88,2.35,58.39,3.02
Other transport equipment,1,2007,4.74,35.07,4.74,55.92,0.0
Other transport equipment,2,2007,5.88,11.76,4.52,76.02,2.26
Other transport equipment,3,2007,7.92,13.75,4.17,72.5,1.67
Other transport equipment,4,2007,7.28,40.29,1.46,48.06,2.43
Other transport equipment,1,2008,6.49,41.13,1.3,51.08,0.0
Other transport equipment,2,2008,8.33,41.67,5.56,44.44,0.0
Other transport equipment,3,2008,9.33,41.97,1.55,47.15,0.0
Other transport equipment,4,2008,8.02,24.53,1.42,37.74,28.3
Other transport equipment,1,2009,7.33,24.14,1.29,41.38,25.86
Other transport equipment,2,2009,9.5,45.81,1.68,37.43,5.59
Other transport equipment,3,2009,12.42,40.37,1.86,43.48,1.86
Other transport equipment,4,2009,8.58,27.9,1.29,48.93,13.73
Other transport equipment,1,2010,10.05,32.42,1.83,45.21,10.96
Other transport equipment,2,2010,8.76,34.56,1.84,44.24,11.06
Other transport equipment,3,2010,9.09,35.89,1.91,42.11,11.48
Other transport equipment,4,2010,15.18,44.2,1.79,33.04,6.7
Other transport equipment,1,2011,14.34,31.7,1.51,43.4,9.06
Other transport equipment,2,2011,17.95,33.33,2.05,39.49,7.69
Other transport equipment,3,2011,15.51,31.02,2.14,44.92,6.95
Other transport equipment,4,2011,11.76,30.67,1.26,50.84,6.3
Other transport equipment,1,2012,9.2,30.27,1.15,50.96,8.81
Other transport equipment,2,2012,9.66,31.4,0.97,51.21,6.76
Other transport equipment,3,2012,10.82,30.41,1.03,57.22,1.03
Other transport equipment,4,2012,8.21,32.82,0.0,55.9,3.08
Other transport equipment,1,2013,9.6,30.3,0.0,57.07,3.54
Other transport equipment,2,2013,6.76,28.99,0.0,60.39,3.86
Other transport equipment,3,2013,7.33,29.84,0.0,60.21,3.14
Other transport equipment,4,2013,5.95,28.65,0.0,63.24,2.16
Other transport equipment,1,2014,7.44,26.05,0.0,63.72,3.26
Other transport equipment,2,2014,4.83,20.0,0.0,72.41,2.76
Other transport equipment,3,2014,3.35,23.42,2.97,57.62,12.64
Other transport equipment,4,2014,5.09,22.91,1.45,57.82,13.09
Other transport equipment,1,2015,2.99,17.41,1.0,69.65,8.46
Other transport equipment,2,2015,2.62,10.82,0.33,80.66,5.57
Other transport equipment,3,2015,4.14,11.15,0.64,78.66,5.41
Other transport equipment,4,2015,4.42,13.65,0.8,74.7,6.83
Other transport equipment,1,2016,2.99,17.41,1.0,69.65,8.46
Other transport equipment,2,2016,2.35,13.73,0.78,61.18,21.96
Other transport equipment,3,2016,0.68,12.63,1.37,63.48,21.84
Other transport equipment,4,2016,0.63,10.97,0.0,83.07,5.33
Other transport equipment,1,2017,0.57,13.51,0.0,84.2,1.44
Other transport equipment,2,2017,0.0,15.99,0.68,81.29,1.7
Other transport equipment,3,2017,0.0,14.23,0.79,83.4,1.98
Other transport equipment,4,2017,0.82,14.81,1.65,81.07,2.06
Other transport equipment,1,2018,0.37,16.12,0.37,81.32,1.83
Other transport equipment,2,2018,0.47,15.96,1.41,79.81,2.35
Other transport equipment,3,2018,0.6,14.33,1.19,64.48,19.7
Other transport equipment,4,2018,0.63,11.32,1.26,64.78,22.33
Other transport equipment,1,2019,0.54,12.94,1.08,66.31,19.14
Other transport equipment,2,2019,0.79,12.04,0.26,65.97,21.2
Other transport equipment,3,2019,0.53,12.66,1.06,64.91,21.37
Other transport equipment,4,2019,0.27,12.23,0.8,65.43,21.54
Other transport equipment,1,2020,0.0,12.14,0.79,65.96,21.37
Other transport equipment,2,2020,0.43,0.0,0.0,36.81,62.75
Other transport equipment,3,2020,0.0,0.71,0.0,38.72,60.57
Other transport equipment,4,2020,0.0,1.09,0.54,58.04,40.33
Other transport equipment,1,2021,1.02,0.51,0.0,76.08,22.39
Other transport equipment,2,2021,2.27,0.51,0.0,74.24,23.23
Other transport equipment,3,2021,1.04,0.52,0.0,74.41,24.02
Other transport equipment,4,2021,1.15,0.58,0.0,78.67,19.6
"Motor vehicles, trailers and parts and accessories",4,2003,8.33,4.39,3.95,66.23,17.11
"Motor vehicles, trailers and parts and accessories",1,2004,5.58,3.55,0.0,72.59,18.27
"Motor vehicles, trailers and parts and accessories",2,2004,7.03,2.16,2.16,60.54,28.11
"Motor vehicles, trailers and parts and accessories",3,2004,19.88,2.92,0.58,69.59,7.02
"Motor vehicles, trailers and parts and accessories",4,2004,9.87,2.63,0.0,78.95,8.55
"Motor vehicles, trailers and parts and accessories",1,2005,4.0,2.67,0.89,57.78,34.67
"Motor vehicles, trailers and parts and accessories",2,2005,2.58,3.23,1.29,57.42,35.48
"Motor vehicles, trailers and parts and accessories",3,2005,4.83,4.14,2.07,72.41,16.55
"Motor vehicles, trailers and parts and accessories",4,2005,7.09,4.72,8.66,64.57,14.96
"Motor vehicles, trailers and parts and accessories",1,2006,11.9,5.56,1.59,73.02,7.94
"Motor vehicles, trailers and parts and accessories",2,2006,11.81,4.72,1.57,61.42,20.47
"Motor vehicles, trailers and parts and accessories",3,2006,8.8,10.4,0.8,64.0,16.0
"Motor vehicles, trailers and parts and accessories",4,2006,19.44,12.96,0.93,41.67,25.0
"Motor vehicles, trailers and parts and accessories",1,2007,20.39,11.65,2.91,40.78,24.27
"Motor vehicles, trailers and parts and accessories",2,2007,16.1,7.63,2.54,45.76,27.97
"Motor vehicles, trailers and parts and accessories",3,2007,18.75,10.94,3.12,36.72,30.47
"Motor vehicles, trailers and parts and accessories",4,2007,14.5,11.45,2.29,45.8,25.95
"Motor vehicles, trailers and parts and accessories",1,2008,13.19,11.11,2.78,47.92,25.0
"Motor vehicles, trailers and parts and accessories",2,2008,5.92,7.69,1.78,56.8,27.81
"Motor vehicles, trailers and parts and accessories",3,2008,7.02,8.77,0.58,78.36,5.26
"Motor vehicles, trailers and parts and accessories",4,2008,2.44,5.85,0.0,85.85,5.85
"Motor vehicles, trailers and parts and accessories",1,2009,1.68,4.04,1.01,85.86,7.41
"Motor vehicles, trailers and parts and accessories",2,2009,2.65,4.64,1.66,83.44,7.62
"Motor vehicles, trailers and parts and accessories",3,2009,2.84,5.36,1.89,83.6,6.31
"Motor vehicles, trailers and parts and accessories",4,2009,5.65,9.68,2.42,75.81,6.45
"Motor vehicles, trailers and parts and accessories",1,2010,8.98,8.2,1.17,74.61,7.03
"Motor vehicles, trailers and parts and accessories",2,2010,14.48,9.05,0.45,65.61,10.41
"Motor vehicles, trailers and parts and accessories",3,2010,11.81,5.9,0.37,56.09,25.83
"Motor vehicles, trailers and parts and accessories",4,2010,13.66,11.18,1.24,62.11,11.8
"Motor vehicles, trailers and parts and accessories",1,2011,10.1,7.58,1.01,70.2,11.11
"Motor vehicles, trailers and parts and accessories",2,2011,12.61,6.76,1.8,52.7,26.13
"Motor vehicles, trailers and parts and accessories",3,2011,9.44,6.67,0.56,56.67,26.67
"Motor vehicles, trailers and parts and accessories",4,2011,6.93,7.43,0.99,52.48,32.18
"Motor vehicles, trailers and parts and accessories",1,2012,10.89,8.91,0.99,64.36,14.85
"Motor vehicles, trailers and parts and accessories",2,2012,16.56,10.19,0.64,59.24,13.38
"Motor vehicles, trailers and parts and accessories",3,2012,8.33,8.33,0.64,72.44,10.26
"Motor vehicles, trailers and parts and accessories",4,2012,14.0,10.0,0.67,66.0,9.33
"Motor vehicles, trailers and parts and accessories",1,2013,11.73,8.38,0.0,68.72,11.17
"Motor vehicles, trailers and parts and accessories",2,2013,13.12,8.12,0.62,71.88,6.25
"Motor vehicles, trailers and parts and accessories",3,2013,4.55,4.92,0.38,35.23,54.92
"Motor vehicles, trailers and parts and accessories",4,2013,7.48,8.16,0.68,68.71,14.97
"Motor vehicles, trailers and parts and accessories",1,2014,8.13,6.22,0.48,57.89,27.27
"Motor vehicles, trailers and parts and accessories",2,2014,11.52,7.37,0.46,57.14,23.5
"Motor vehicles, trailers and parts and accessories",3,2014,10.8,8.52,1.7,63.64,15.34
"Motor vehicles, trailers and parts and accessories",4,2014,13.26,9.39,2.21,62.43,12.71
"Motor vehicles, trailers and parts and accessories",1,2015,11.39,5.45,2.97,62.87,17.33
"Motor vehicles, trailers and parts and accessories",2,2015,12.17,6.88,0.53,70.9,9.52
"Motor vehicles, trailers and parts and accessories",3,2015,12.86,6.67,0.0,70.0,10.48
"Motor vehicles, trailers and parts and accessories",4,2015,8.0,5.14,0.57,78.29,8.0
"Motor vehicles, trailers and parts and accessories",1,2016,7.03,4.86,0.54,68.11,19.46
"Motor vehicles, trailers and parts and accessories",2,2016,5.13,4.62,0.51,66.67,23.08
"Motor vehicles, trailers and parts and accessories",3,2016,6.56,5.46,0.55,73.22,14.21
"Motor vehicles, trailers and parts and accessories",4,2016,5.21,4.69,0.52,76.04,13.54
"Motor vehicles, trailers and parts and accessories",1,2017,5.71,5.24,0.95,77.14,10.95
"Motor vehicles, trailers and parts and accessories",2,2017,4.59,5.61,0.51,79.08,10.2
"Motor vehicles, trailers and parts and accessories",3,2017,5.88,5.29,1.18,78.82,8.82
"Motor vehicles, trailers and parts and accessories",4,2017,5.59,4.47,1.12,74.86,13.97
"Motor vehicles, trailers and parts and accessories",1,2018,8.02,5.88,0.0,72.73,13.37
"Motor vehicles, trailers and parts and accessories",2,2018,5.88,4.71,0.59,74.71,14.12
"Motor vehicles, trailers and parts and accessories",3,2018,4.86,5.41,0.54,71.89,17.3
"Motor vehicles, trailers and parts and accessories",4,2018,4.05,4.62,0.58,72.25,18.5
"Motor vehicles, trailers and parts and accessories",1,2019,5.15,4.64,0.52,70.62,19.07
"Motor vehicles, trailers and parts and accessories",2,2019,3.74,4.81,0.0,71.12,20.32
"Motor vehicles, trailers and parts and accessories",3,2019,4.76,4.76,0.53,73.02,16.93
"Motor vehicles, trailers and parts and accessories",4,2019,3.79,4.27,0.47,74.41,17.06
"Motor vehicles, trailers and parts and accessories",1,2020,4.29,4.29,0.48,72.38,18.57
"Motor vehicles, trailers and parts and accessories",2,2020,3.96,0.72,0.0,45.05,50.27
"Motor vehicles, trailers and parts and accessories",3,2020,4.86,1.82,0.0,59.57,33.74
"Motor vehicles, trailers and parts and accessories",4,2020,7.27,2.73,0.0,64.55,25.45
"Motor vehicles, trailers and parts and accessories",1,2021,9.81,2.34,0.0,71.5,16.36
